"participant_id","complex","simple","ambiguous","unambiguous","nfc","ospan","asq","stroop","crt","iq","nfc_rescaled","ospan_rescaled","asq_rescaled","stroop_rescaled","iq_rescaled","crt_rescaled","study"
93,0.916666666666667,1,0.666666666666667,0.96969696969697,NA,1,8,NA,0.5,4,NA,1,0.028571428571429,NA,0.4,0.5,"main"
94,0.5,1,0.333333333333333,0.96969696969697,NA,1,12,NA,0.166666666666667,7,NA,1,0.142857142857143,NA,0.7,0.166666666666667,"main"
95,0.666666666666667,1,0.555555555555556,0.96969696969697,NA,0.945833333333333,25,NA,0.8,4,NA,0.912897822445561,0.514285714285714,NA,0.4,0.8,"main"
96,0.5,0.916666666666667,0.666666666666667,0.96969696969697,NA,0.979166666666667,21,NA,0,7,NA,0.966499162479062,0.4,NA,0.7,0,"main"
97,0.666666666666667,0.75,0.333333333333333,0.96969696969697,NA,1,33,NA,0.333333333333333,7,NA,1,0.742857142857143,NA,0.7,0.333333333333333,"main"
98,0.833333333333333,0.916666666666667,0.444444444444444,0.96969696969697,NA,1,24,NA,0.5,8,NA,1,0.485714285714286,NA,0.8,0.5,"main"
99,0.916666666666667,1,0.777777777777778,0.96969696969697,NA,0.9375,9,NA,0.666666666666667,9,NA,0.899497487437186,0.057142857142857,NA,0.9,0.666666666666667,"main"
100,0.333333333333333,0.666666666666667,0.444444444444444,0.96969696969697,NA,0.958333333333333,28,NA,0.25,0,NA,0.932998324958124,0.6,NA,0,0.25,"main"
101,0.833333333333333,1,0.555555555555556,0.96969696969697,NA,0.966666666666667,14,NA,0.75,9,NA,0.9463986599665,0.2,NA,0.9,0.75,"main"
102,0.666666666666667,0.916666666666667,0.333333333333333,0.96969696969697,NA,0.975,12,NA,0.5,5,NA,0.959798994974874,0.142857142857143,NA,0.5,0.5,"main"
103,0.5,0.75,0.666666666666667,0.96969696969697,NA,0.747916666666667,20,NA,0.166666666666667,4,NA,0.594639865996651,0.371428571428571,NA,0.4,0.166666666666667,"main"
104,0.5,0.666666666666667,0.333333333333333,0.96969696969697,NA,1,31,NA,0.5,6,NA,1,0.685714285714286,NA,0.6,0.5,"main"
105,0.416666666666667,0.833333333333333,0.333333333333333,0.96969696969697,NA,0.891666666666667,42,NA,0.166666666666667,6,NA,0.825795644891123,1,NA,0.6,0.166666666666667,"main"
106,0.25,0.916666666666667,0.111111111111111,0.96969696969697,NA,0.897916666666667,19,NA,0,5,NA,0.835845896147404,0.342857142857143,NA,0.5,0,"main"
107,0.416666666666667,0.75,0.555555555555556,0.96969696969697,NA,0.890625,27,NA,0.25,3,NA,0.824120603015075,0.571428571428571,NA,0.3,0.25,"main"
108,0.75,1,0.555555555555556,0.96969696969697,NA,1,10,NA,0.166666666666667,5,NA,1,0.085714285714286,NA,0.5,0.166666666666667,"main"
109,0.5,0.916666666666667,0.555555555555556,0.96969696969697,NA,1,12,NA,0.666666666666667,4,NA,1,0.142857142857143,NA,0.4,0.666666666666667,"main"
110,0.5,0.666666666666667,0.666666666666667,0.96969696969697,NA,0.891666666666667,11,NA,0.4,5,NA,0.825795644891123,0.114285714285714,NA,0.5,0.4,"main"
111,0.333333333333333,1,0.333333333333333,0.939393939393939,NA,0.9375,14,NA,0.5,4,NA,0.899497487437186,0.2,NA,0.4,0.5,"main"
112,0.666666666666667,0.916666666666667,0.666666666666667,0.96969696969697,NA,0.96875,21,NA,0.2,5,NA,0.949748743718593,0.4,NA,0.5,0.2,"main"
113,0.5,0.166666666666667,0.222222222222222,0.96969696969697,NA,0.910416666666667,17,NA,0,3,NA,0.855946398659967,0.285714285714286,NA,0.3,0,"main"
114,0.666666666666667,1,0.444444444444444,0.96969696969697,NA,0.951041666666667,34,NA,1,8,NA,0.921273031825796,0.771428571428571,NA,0.8,1,"main"
115,0.583333333333333,0.833333333333333,0.666666666666667,0.96969696969697,NA,1,16,NA,0.666666666666667,5,NA,1,0.257142857142857,NA,0.5,0.666666666666667,"main"
